mutant_id	path	line	mutation	outcome	reproduction	semantic_effect	verdict	authority	action	final_outcome
M012	03_infra/refinement_snapshot.rs	139	replace > with >= in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M013	03_infra/refinement_snapshot.rs	146	replace + with - in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TOOL-LIMIT	concurrent file-read contract + deterministic-test requirement	future scoped I/O seam; prohibit timing-flaky gate	MISSED-TOOL-LIMIT
M014	03_infra/refinement_snapshot.rs	149	replace > with == in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M015	03_infra/refinement_snapshot.rs	146	replace + with * in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TOOL-LIMIT	concurrent file-read contract + deterministic-test requirement	future scoped I/O seam; prohibit timing-flaky gate	MISSED-TOOL-LIMIT
M016	03_infra/refinement_snapshot.rs	149	replace > with >= in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M017	03_infra/refinement_snapshot.rs	153	replace || with && in read_regular	MISSED	confirmed-serial	changes an observable contract decision	TOOL-LIMIT	concurrent file-read contract + deterministic-test requirement	future scoped I/O seam; prohibit timing-flaky gate	MISSED-TOOL-LIMIT
M018	03_infra/refinement_snapshot.rs	199	replace || with && in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	EQUIVALENT	closed pre-validation or stable error-class authority	document equivalence; do not pin internal prose/redundancy	MISSED-EQUIVALENT
M019	03_infra/refinement_snapshot.rs	199	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M020	03_infra/refinement_snapshot.rs	199	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M021	03_infra/refinement_snapshot.rs	199	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M022	03_infra/refinement_snapshot.rs	199	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M023	03_infra/refinement_snapshot.rs	202	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M024	03_infra/refinement_snapshot.rs	210	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M025	03_infra/refinement_snapshot.rs	215	replace || with && in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	EQUIVALENT	closed pre-validation or stable error-class authority	document equivalence; do not pin internal prose/redundancy	MISSED-EQUIVALENT
M026	03_infra/refinement_snapshot.rs	214	replace || with && in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	EQUIVALENT	closed pre-validation or stable error-class authority	document equivalence; do not pin internal prose/redundancy	MISSED-EQUIVALENT
M027	03_infra/refinement_snapshot.rs	213	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M028	03_infra/refinement_snapshot.rs	213	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M029	03_infra/refinement_snapshot.rs	214	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M030	03_infra/refinement_snapshot.rs	214	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M031	03_infra/refinement_snapshot.rs	215	replace > with == in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M032	03_infra/refinement_snapshot.rs	215	replace > with >= in load_snapshot_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M033	03_infra/refinement_snapshot.rs	260	replace || with && in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M034	03_infra/refinement_snapshot.rs	260	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M035	03_infra/refinement_snapshot.rs	260	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M036	03_infra/refinement_snapshot.rs	260	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M037	03_infra/refinement_snapshot.rs	260	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M038	03_infra/refinement_snapshot.rs	273	replace || with && in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	EQUIVALENT	closed pre-validation or stable error-class authority	document equivalence; do not pin internal prose/redundancy	MISSED-EQUIVALENT
M039	03_infra/refinement_snapshot.rs	273	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M040	03_infra/refinement_snapshot.rs	273	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M041	03_infra/refinement_snapshot.rs	273	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M042	03_infra/refinement_snapshot.rs	273	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M043	03_infra/refinement_snapshot.rs	287	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M044	03_infra/refinement_snapshot.rs	287	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M045	03_infra/refinement_snapshot.rs	304	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M046	03_infra/refinement_snapshot.rs	304	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M047	03_infra/refinement_snapshot.rs	313	replace += with *= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M048	03_infra/refinement_snapshot.rs	314	replace || with && in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M049	03_infra/refinement_snapshot.rs	314	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M050	03_infra/refinement_snapshot.rs	314	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M051	03_infra/refinement_snapshot.rs	314	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M052	03_infra/refinement_snapshot.rs	314	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M053	03_infra/refinement_snapshot.rs	322	replace > with == in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M054	03_infra/refinement_snapshot.rs	322	replace > with >= in load_contract_from_bytes	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M055	03_infra/refinement_snapshot.rs	364	replace > with >= in ensure_toml_string_limits	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M056	03_infra/refinement_snapshot.rs	375	replace > with == in ensure_toml_string_limits	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M057	03_infra/refinement_snapshot.rs	375	replace > with >= in ensure_toml_string_limits	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M058	02_shell/fix_hashes.rs	76	replace > with < in <impl fmt::Display for FixBatchError>::fmt	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M059	02_shell/fix_hashes.rs	76	replace > with == in <impl fmt::Display for FixBatchError>::fmt	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M060	02_shell/fix_hashes.rs	76	replace > with >= in <impl fmt::Display for FixBatchError>::fmt	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M061	02_shell/fix_hashes.rs	147	replace && with || in plan_bijective	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M062	02_shell/fix_hashes.rs	147	replace == with != in plan_bijective	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M063	02_shell/fix_hashes.rs	461	replace == with != in format_results	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M064	02_shell/fix_hashes.rs	476	replace > with == in format_results	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M065	02_shell/fix_hashes.rs	476	replace > with < in format_results	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M066	02_shell/fix_hashes.rs	476	replace > with >= in format_results	MISSED	confirmed-serial	changes an observable contract decision	TEST-GAP	owner prompt + existing assessment	public-contract boundary gate added	CAUGHT
M067	01_core/entities/refinement_seal.rs	47	replace <impl From<&RefinementVerdict> for VerdictName>::from -> Self with Default::default()	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M068	01_core/rules/forbidden_import.rs	31	replace check -> Vec<Violation<'a>> with vec![Default::default()]	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M069	01_core/rules/forbidden_import.rs	53	replace make_violation -> Violation<'a> with Default::default()	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M070	01_core/rules/prompt_drift.rs	17	replace check -> Vec<Violation<'a>> with vec![Default::default()]	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M071	03_infra/refinement_snapshot.rs	60	replace <impl Deserialize<'de> for DuplicateSafe>::deserialize -> Result<Self, D::Error> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M072	03_infra/refinement_snapshot.rs	70	replace <impl Visitor<'de> for DuplicateVisitor>::visit_map -> Result<Self::Value, A::Error> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M073	03_infra/refinement_snapshot.rs	83	replace <impl Visitor<'de> for DuplicateVisitor>::visit_seq -> Result<Self::Value, A::Error> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M074	03_infra/refinement_snapshot.rs	87	replace <impl Visitor<'de> for DuplicateVisitor>::visit_bool -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M075	03_infra/refinement_snapshot.rs	90	replace <impl Visitor<'de> for DuplicateVisitor>::visit_i64 -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M076	03_infra/refinement_snapshot.rs	93	replace <impl Visitor<'de> for DuplicateVisitor>::visit_u64 -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M077	03_infra/refinement_snapshot.rs	96	replace <impl Visitor<'de> for DuplicateVisitor>::visit_f64 -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M078	03_infra/refinement_snapshot.rs	99	replace <impl Visitor<'de> for DuplicateVisitor>::visit_str -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M079	03_infra/refinement_snapshot.rs	105	replace <impl Visitor<'de> for DuplicateVisitor>::visit_string -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M080	03_infra/refinement_snapshot.rs	108	replace <impl Visitor<'de> for DuplicateVisitor>::visit_none -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M081	03_infra/refinement_snapshot.rs	111	replace <impl Visitor<'de> for DuplicateVisitor>::visit_unit -> Result<Self::Value, E> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M082	03_infra/refinement_snapshot.rs	160	replace reason -> Result<UnknownReason, String> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M083	03_infra/refinement_snapshot.rs	172	replace load_snapshot -> Result<ArtifactFacts, String> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M084	03_infra/refinement_snapshot.rs	177	replace load_snapshot_from_bytes -> Result<ArtifactFacts, String> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M085	03_infra/refinement_snapshot.rs	238	replace load_contract -> Result<RefinementContract, String> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M086	03_infra/refinement_snapshot.rs	243	replace load_contract_from_bytes -> Result<RefinementContract, String> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M087	03_infra/refinement_snapshot.rs	339	delete match arm "must-not-invent" in load_contract_from_bytes	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M088	02_shell/fix_hashes.rs	125	replace plan_bijective -> Result<FixBatchPlan, FixBatchError> with Ok(Default::default())	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M089	02_shell/fix_hashes.rs	171	replace execute_bijective -> FixBatchResult with Default::default()	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M090	02_shell/fix_hashes.rs	290	replace plan -> Vec<FixEntry> with vec![Default::default()]	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
M091	02_shell/fix_hashes.rs	341	replace execute -> Vec<FixResult> with vec![Default::default()]	UNVIABLE	compile failure recorded	mutant cannot compile under the type contract	TOOL-LIMIT	rustc + cargo-mutants outcome	no semantic claim	UNVIABLE
